"CODE","GROUP","GENDER","AGE","CUB","SIM","MCH","IDC","COD","VOC","SLC","MAT","COM","SYM","ICV","IRP","QIT","IAG","ICC"
"P1","NONGIFTED","F",98,13,8,11,12,17,9,10,9,9,16,92,109,112,100,127
"P2","GIFTED","F",106,15,15,11,16,13,15,13,17,10,11,120,142,130,134,115
"P3","GIFTED","F",107,11,17,10,15,14,19,13,12,17,14,150,119,138,137,121
"P4","GIFTED","F",107,13,18,14,13,15,15,11,13,15,8,142,121,129,133,115
"P5","GIFTED","F",107,17,16,19,19,15,16,18,17,19,14,146,151,155,153,147
"P6","GIFTED","F",111,15,19,16,14,9,17,14,13,14,8,143,128,134,139,113
"P7","GIFTED","F",116,14,18,8,13,18,18,14,12,19,19,154,121,147,141,135
"P8","GIFTED","F",116,13,19,17,17,15,18,18,19,18,18,154,144,156,153,151
"P9","GIFTED","F",116,8,19,14,14,11,14,13,9,18,12,146,102,128,127,119
"P10","GIFTED","F",117,19,19,10,17,11,19,11,14,14,13,148,146,143,151,109
"P11","GIFTED","F",117,14,17,12,15,11,17,16,13,18,9,148,128,138,141,115
"P12","GIFTED","F",118,10,14,12,14,8,19,14,10,19,6,148,109,119,131,95
"P13","GIFTED","F",120,11,18,11,12,14,18,9,15,16,14,148,119,138,136,115
"P14","GIFTED","F",121,17,19,14,12,10,18,14,17,18,12,154,138,146,149,119
"P15","GIFTED","F",122,16,19,12,10,12,16,15,17,18,11,150,130,142,143,119
"P16","GIFTED","F",122,16,19,10,13,13,16,12,14,12,18,135,130,139,136,125
"P17","GIFTED","F",123,10,15,12,15,10,16,13,13,14,10,130,121,124,128,109
"P18","GIFTED","F",123,12,18,19,16,14,13,16,15,15,11,132,130,145,135,136
"P19","GIFTED","F",125,18,15,12,16,15,17,15,17,15,14,135,148,147,146,130
"P20","GIFTED","F",125,13,19,11,17,6,19,11,10,19,9,155,124,129,145,95
"P21","GIFTED","F",126,17,19,15,18,8,16,12,16,13,8,138,148,138,147,106
"P22","GIFTED","F",126,12,14,15,15,3,15,15,14,13,4,124,126,117,128,97
"P23","GIFTED","F",127,12,19,16,16,7,18,15,7,15,12,148,111,131,133,118
"P24","GIFTED","F",128,11,13,11,12,11,19,15,15,14,15,132,119,130,129,123
"P25","GIFTED","F",129,11,19,12,14,19,19,13,13,18,19,155,119,149,141,141
"P26","GIFTED","F",130,10,19,10,16,10,14,13,15,15,12,138,126,129,135,109
"P27","GIFTED","F",133,15,14,13,14,14,14,12,10,13,14,122,121,128,124,124
"P28","GIFTED","F",133,19,15,12,14,11,17,13,19,18,13,142,150,146,151,117
"P29","GIFTED","F",141,11,19,15,17,12,19,13,14,16,9,152,128,141,143,117
"P30","GIFTED","F",142,11,19,13,16,17,14,12,16,18,14,146,130,145,141,131
"P31","GIFTED","F",142,11,16,11,15,13,15,11,11,13,15,128,116,127,125,119
"P32","GIFTED","F",145,15,14,11,10,13,17,13,12,15,11,132,116,127,128,115
"P33","NONGIFTED","F",78,10,12,11,13,16,10,11,14,9,13,101,116,116,110,121
"P34","NONGIFTED","F",80,10,11,4,11,10,10,10,10,12,1,106,102,90,105,74
"P35","NONGIFTED","F",85,14,11,9,8,13,11,10,12,13,12,110,109,111,111,108
"P36","NONGIFTED","F",91,9,12,9,11,15,12,11,12,15,13,118,104,116,113,115
"P37","NONGIFTED","F",95,4,10,11,9,11,13,12,10,12,10,110,84,102,98,108
"P38","NONGIFTED","F",117,12,15,10,11,13,10,11,13,11,16,112,114,119,114,119
"P39","NONGIFTED","F",123,6,11,10,7,11,12,10,12,14,10,114,88,102,102,102
"P40","NONGIFTED","F",127,12,11,12,9,8,11,14,12,9,12,101,107,108,105,111
"P41","NONGIFTED","F",137,10,12,7,10,6,10,7,7,11,1,106,92,84,100,67
"P42","NONGIFTED","F",139,9,15,7,9,9,15,11,14,9,13,118,104,109,113,100
"P43","GIFTED","M",106,17,19,19,14,17,16,16,15,15,13,143,138,151,143,146
"P44","GIFTED","M",106,8,19,12,14,10,13,11,14,16,6,138,114,119,129,96
"P45","NONGIFTED","M",106,9,19,14,7,10,13,14,8,11,6,126,86,109,108,108
"P46","GIFTED","M",106,11,18,10,14,10,14,9,14,16,10,138,121,122,133,98
"P47","GIFTED","M",107,14,16,10,13,8,13,12,13,17,6,132,124,119,131,93
"P48","GIFTED","M",107,14,19,17,15,11,19,12,14,14,14,148,130,145,142,126
"P49","GIFTED","M",107,15,19,19,16,12,19,18,17,19,16,155,142,155,154,145
"P50","GIFTED","M",107,12,19,15,19,10,16,15,14,19,9,152,135,144,147,116
"P51","GIFTED","M",108,13,18,18,13,15,15,11,19,13,16,132,135,146,137,138
"P52","GIFTED","M",109,13,18,13,13,12,19,10,17,16,9,150,130,136,143,108
"P53","GIFTED","M",109,16,17,16,12,14,17,15,14,18,15,148,128,147,141,138
"P54","GIFTED","M",110,13,16,18,18,10,15,14,14,13,8,128,135,134,135,118
"P55","NONGIFTED","M",110,9,9,6,12,10,10,1,11,9,12,96,104,90,100,80
"P56","GIFTED","M",111,12,19,13,12,14,19,15,11,19,11,155,111,141,139,124
"P57","GIFTED","M",111,13,18,12,16,9,16,9,12,15,13,140,126,128,136,106
"P58","GIFTED","M",111,15,19,16,13,14,19,13,17,18,13,155,135,149,149,130
"P59","GIFTED","M",111,19,19,14,16,9,19,16,14,19,11,155,140,150,156,126
"P60","GIFTED","M",111,13,19,13,15,6,18,15,13,19,8,155,126,134,145,104
"P61","GIFTED","M",112,11,19,10,6,6,18,13,14,13,6,148,102,115,125,92
"P62","GIFTED","M",113,15,15,13,15,12,18,13,13,17,12,143,130,139,140,119
"P63","GIFTED","M",113,13,19,12,15,10,18,13,16,19,11,155,132,142,148,111
"P64","GIFTED","M",114,13,19,7,9,16,19,7,14,16,16,152,114,130,136,112
"P65","GIFTED","M",114,13,19,17,15,9,18,13,14,15,6,148,128,139,141,110
"P66","GIFTED","M",114,12,16,13,15,9,17,11,9,18,9,146,114,125,133,103
"P67","GIFTED","M",114,11,19,14,17,6,19,16,15,19,10,155,130,142,148,111
"P68","GIFTED","M",115,12,17,16,12,13,15,16,13,14,14,138,116,138,128,136
"P69","GIFTED","M",115,19,19,8,13,13,12,10,8,17,11,138,124,126,134,104
"P70","GIFTED","M",115,15,18,18,13,15,18,14,15,18,16,152,130,150,145,144
"P71","GIFTED","M",115,13,16,13,16,10,15,12,11,16,9,135,124,118,133,107
"P72","GIFTED","M",116,12,19,7,16,10,18,14,13,16,10,150,126,129,141,102
"P73","GIFTED","M",116,19,15,13,10,9,16,13,13,19,8,143,128,129,139,105
"P74","GIFTED","M",118,16,17,12,19,12,18,15,14,19,11,150,144,146,152,119
"P75","GIFTED","M",118,11,19,12,12,11,16,13,13,11,12,132,114,126,127,115
"P76","GIFTED","M",118,8,19,7,17,15,14,13,19,14,12,135,132,132,137,113
"P77","GIFTED","M",119,14,15,10,12,13,15,15,16,13,14,126,128,131,130,123
"P78","GIFTED","M",120,9,19,15,15,9,16,10,12,18,10,150,114,128,135,107
"P79","GIFTED","M",120,12,19,18,15,8,18,15,18,19,10,155,135,146,149,119
"P80","GIFTED","M",120,12,19,13,15,7,17,13,11,17,7,150,119,127,137,101
"P81","GIFTED","M",120,13,19,19,15,8,17,13,8,15,13,146,144,136,133,124
"P82","GIFTED","M",120,10,16,8,13,9,19,9,12,14,13,140,111,119,129,98
"P83","GIFTED","M",121,14,17,11,14,8,16,14,13,14,13,135,126,129,134,111
"P84","GIFTED","M",122,15,18,7,16,10,13,10,14,13,12,128,135,124,135,98
"P85","GIFTED","M",122,13,19,10,12,10,14,12,16,13,8,132,126,123,133,99
"P86","GIFTED","M",124,12,16,19,14,6,17,14,15,12,6,130,126,127,131,110
"P87","GIFTED","M",124,12,19,12,11,8,15,15,11,13,11,135,109,123,125,113
"P88","GIFTED","M",125,19,18,16,14,15,15,15,14,15,14,138,140,148,142,138
"P89","GIFTED","M",125,15,15,9,16,9,13,10,14,15,11,126,135,123,134,98
"P90","GIFTED","M",126,13,19,10,12,13,16,15,15,14,13,140,124,136,135,121
"P91","GIFTED","M",126,15,17,13,15,9,16,14,14,15,11,138,132,134,139,113
"P92","GIFTED","M",126,12,19,10,10,8,19,12,12,17,13,154,109,128,135,106
"P93","GIFTED","M",128,19,19,12,14,13,16,13,16,15,9,143,144,142,147,113
"P94","GIFTED","M",128,14,19,16,12,13,14,14,14,15,12,138,124,139,134,128
"P95","GIFTED","M",129,17,13,11,12,17,11,10,12,14,13,116,126,126,123,121
"P96","GIFTED","M",129,12,19,10,12,12,19,11,10,15,11,150,109,127,133,108
"P97","GIFTED","M",130,17,19,16,12,11,15,18,9,15,13,140,119,141,133,133
"P98","GIFTED","M",130,12,14,9,18,6,16,13,15,15,7,130,138,122,136,92
"P99","GIFTED","M",131,11,18,10,14,12,15,10,14,15,13,138,121,128,133,109
"P100","GIFTED","M",131,15,19,12,14,12,18,14,15,9,13,132,132,137,136,121
"P101","GIFTED","M",131,10,14,19,15,11,18,19,14,13,11,130,121,140,129,135
"P102","GIFTED","M",132,12,16,12,14,10,17,13,14,18,12,146,124,132,137,113
"P103","GIFTED","M",132,19,16,14,13,13,19,12,13,19,13,152,135,146,147,123
"P104","GIFTED","M",132,13,14,16,14,11,14,16,15,12,14,120,128,134,127,132
"P105","NONGIFTED","M",132,7,15,14,9,5,17,16,9,15,11,135,88,115,114,111
"P106","GIFTED","M",133,12,16,15,14,12,14,13,16,11,14,128,135,139,128,126
"P107","GIFTED","M",134,13,19,13,11,4,17,14,12,15,9,146,114,123,133,101
"P108","GIFTED","M",135,15,15,14,15,13,15,13,16,13,13,126,138,138,135,124
"P109","GIFTED","M",136,13,14,12,16,11,14,11,14,17,14,130,130,130,134,115
"P110","GIFTED","M",136,13,14,12,15,14,16,12,13,18,13,138,126,136,135,121
"P111","GIFTED","M",136,11,19,12,14,8,17,12,10,18,10,152,111,127,135,103
"P112","GIFTED","M",137,14,13,14,11,12,13,15,14,12,13,116,121,128,120,126
"P113","GIFTED","M",137,13,17,14,15,10,18,14,14,17,8,148,128,136,141,111
"P114","GIFTED","M",137,15,16,12,11,13,17,11,11,19,12,148,116,131,135,115
"P115","GIFTED","M",140,15,15,7,17,8,15,8,11,16,8,132,130,117,135,83
"P116","GIFTED","M",141,15,18,13,13,15,19,12,16,14,12,146,132,143,142,123
"P117","GIFTED","M",141,13,14,14,16,11,14,13,14,16,19,128,130,140,133,133
"P118","GIFTED","M",143,12,15,15,17,11,19,14,15,17,11,146,132,142,142,121
"P119","GIFTED","M",144,17,16,13,16,12,16,14,14,18,14,143,140,145,145,124
"P120","GIFTED","M",145,19,15,12,13,10,15,11,13,15,13,130,135,130,136,111
"P121","GIFTED","M",145,12,19,13,15,15,19,9,15,12,12,154,128,142,139,117
"P122","GIFTED","M",146,11,19,12,15,11,19,11,16,19,9,155,128,138,147,106
"P123","GIFTED","M",146,12,17,13,15,15,19,13,10,16,15,148,116,141,135,131
"P124","GIFTED","M",147,10,18,15,15,11,18,13,14,13,11,140,121,132,134,119
"P125","GIFTED","M",147,10,18,15,15,11,18,13,14,13,11,140,121,132,134,119
"P126","GIFTED","M",147,15,14,13,13,14,19,13,16,18,13,146,132,144,142,124
"P127","GIFTED","M",147,14,15,11,16,12,16,14,12,19,12,143,128,137,139,117
"P128","GIFTED","M",147,11,15,14,17,11,15,19,15,16,13,132,130,141,135,129
"P129","GIFTED","M",148,15,14,14,13,10,15,16,12,10,12,118,124,127,123,123
"P130","GIFTED","M",148,15,18,14,18,9,14,15,15,16,13,138,142,145,143,126
"P131","NONGIFTED","M",161,6,15,9,6,3,14,9,9,16,10,130,77,97,107,84
"P132","NONGIFTED","M",80,10,14,12,4,16,10,12,12,14,14,116,90,115,105,127
"P133","NONGIFTED","M",88,9,11,13,10,6,10,13,12,9,7,99,102,100,101,99
"P134","NONGIFTED","M",91,6,9,7,11,8,10,10,11,13,9,103,94,94,100,88
"P135","NONGIFTED","M",92,11,10,7,8,8,11,10,11,16,9,114,99,101,108,88
"P136","NONGIFTED","M",93,9,14,6,8,5,13,9,11,15,9,124,94,99,112,80
"P137","NONGIFTED","M",93,11,12,15,11,9,13,12,11,14,10,118,107,115,114,111
"P138","NONGIFTED","M",104,13,12,10,13,11,14,9,12,1,10,114,103,100,106,100
"P139","NONGIFTED","M",105,9,15,12,13,9,14,11,9,10,8,118,102,108,112,99
"P140","NONGIFTED","M",107,10,16,10,7,7,13,11,12,11,9,120,96,105,111,94
"P141","NONGIFTED","M",111,10,12,10,8,11,12,7,7,13,13,114,88,102,102,102
"P142","NONGIFTED","M",111,7,12,8,12,10,11,6,13,12,9,110,104,100,108,86
"P143","NONGIFTED","M",113,10,12,8,13,8,14,10,12,11,7,114,111,104,114,87
"P144","NONGIFTED","M",113,9,12,12,13,4,12,11,13,10,10,108,111,105,111,95
"P145","NONGIFTED","M",114,11,13,6,7,8,12,7,11,12,9,114,96,96,107,81
"P146","NONGIFTED","M",115,9,15,16,8,4,15,12,11,11,3,126,94,105,111,103
"P147","NONGIFTED","M",115,9,12,7,13,4,14,7,11,10,8,112,107,95,111,75
"P148","NONGIFTED","M",116,7,13,11,8,11,16,10,9,16,14,130,86,112,111,111
"P149","GIFTED","M",120,11,12,10,16,14,12,10,12,13,19,114,121,125,119,125
"P150","NONGIFTED","M",123,9,14,16,8,7,12,15,10,13,11,118,92,112,107,116
"P151","NONGIFTED","M",127,14,13,11,7,11,15,6,10,10,4,116,102,109,111,86
"P152","NONGIFTED","M",128,15,11,7,11,9,8,10,14,10,8,98,124,102,111,88
"P153","NONGIFTED","M",133,8,8,11,13,8,9,8,8,11,4,96,96,89,96,84
"P154","NONGIFTED","M",135,7,14,7,11,11,16,9,10,12,8,124,94,104,112,90
"P155","NONGIFTED","M",139,12,13,12,12,10,14,11,10,11,14,116,109,116,114,113
"P156","NONGIFTED","M",143,9,10,9,7,10,8,9,11,8,10,92,92,94,92,96
"P157","NONGIFTED","M",147,10,10,9,11,7,11,10,12,10,12,101,107,102,105,96
"P158","NONGIFTED","M",157,10,11,11,6,11,9,11,9,9,8,98,88,95,93,101
"P159","NONGIFTED","M",159,10,14,11,11,7,13,14,12,12,14,118,107,115,114,111
"P160","NONGIFTED","M",160,12,14,13,9,7,14,13,10,13,11,122,102,113,114,107
"P161","NONGIFTED","M",167,18,12,10,9,8,11,6,13,7,10,99,124,103,112,88
"P162","NONGIFTED","M",168,13,13,9,9,10,14,8,10,9,9,112,104,103,110,92
"P163","NONGIFTED","M",170,8,10,7,8,6,12,7,12,14,5,112,94,90,105,74
"P164","NONGIFTED","M",170,5,15,10,8,12,13,8,8,18,13,132,81,108,108,106
"P165","NONGIFTED","M",179,8,10,9,8,10,13,9,9,11,12,108,88,99,99,100
"P166","NONGIFTED","M",181,14,10,11,12,8,10,14,13,9,7,98,121,107,110,101
"P167","NONGIFTED","M",188,8,16,13,7,9,17,14,8,14,10,135,84,113,112,111
"P168","NONGIFTED","M",190,13,14,13,6,7,13,12,9,14,14,122,94,112,111,111
"P169","NONGIFTED","M",193,9,17,11,7,7,14,10,11,14,6,130,92,105,114,90
